pop_record_id,city,district,stat_year,source_id,source_url,indicator_name,indicator_value,indicator_unit,population_scope,age_group,sex_group,urban_rural,note_raw,extract_method,manual_check_flag
pop_4f8c2b244145,南京,玄武区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,537825,person,resident,,,,玄武区,table_regex,0
pop_076adf20b5b7,南京,玄武区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,5.77,percent,resident,,,,2020 share,table_regex,0
pop_283696da470b,南京,秦淮区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,740809,person,resident,,,,秦淮区,table_regex,0
pop_815baea98ada,南京,秦淮区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,7.95,percent,resident,,,,2020 share,table_regex,0
pop_b1f6dee6c45e,南京,建邺区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,534257,person,resident,,,,建邺区,table_regex,0
pop_d835f1955707,南京,建邺区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,5.74,percent,resident,,,,2020 share,table_regex,0
pop_bc22f26a973a,南京,鼓楼区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,940387,person,resident,,,,鼓楼区,table_regex,0
pop_d5a7d1c312db,南京,鼓楼区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,10.10,percent,resident,,,,2020 share,table_regex,0
pop_8ba62833b7fc,南京,浦口区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,1171603,person,resident,,,,浦口区,table_regex,0
pop_47d622a31e21,南京,浦口区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,12.58,percent,resident,,,,2020 share,table_regex,0
pop_03479c90df37,南京,栖霞区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,987835,person,resident,,,,栖霞区,table_regex,0
pop_dcdb7ea048b7,南京,栖霞区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,10.61,percent,resident,,,,2020 share,table_regex,0
pop_84ca6e315184,南京,雨花台区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,608780,person,resident,,,,雨花台区,table_regex,0
pop_81d091db2a3f,南京,雨花台区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,6.54,percent,resident,,,,2020 share,table_regex,0
pop_11be1e2490a0,南京,江宁区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,1926117,person,resident,,,,江宁区,table_regex,0
pop_a716d016b3a2,南京,江宁区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,20.68,percent,resident,,,,2020 share,table_regex,0
pop_b7d835e4fc16,南京,六合区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,946563,person,resident,,,,六合区,table_regex,0
pop_ca5f966db550,南京,六合区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,10.16,percent,resident,,,,2020 share,table_regex,0
pop_71264edb500e,南京,溧水区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,491336,person,resident,,,,溧水区,table_regex,0
pop_47d0bf0642f5,南京,溧水区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,5.27,percent,resident,,,,2020 share,table_regex,0
pop_31b6533a818d,南京,高淳区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,429173,person,resident,,,,高淳区,table_regex,0
pop_513100330800,南京,高淳区,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population_share,4.61,percent,resident,,,,2020 share,table_regex,0
pop_a4d33516e7b3,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,9314685,person,resident,all,,,总 计,table_regex,0
pop_9b23b17487e1,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,age_share_of_population,100.00,percent,resident,all,,,总 计,table_regex,0
pop_3bf505bcb344,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,1187619,person,resident,0-14,,,0-14岁,table_regex,0
pop_569f376b7051,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,age_share_of_population,12.75,percent,resident,0-14,,,0-14岁,table_regex,0
pop_80fd64b20ad1,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,6359338,person,resident,15-59,,,15-59岁,table_regex,0
pop_357731841b4f,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,age_share_of_population,68.27,percent,resident,15-59,,,15-59岁,table_regex,0
pop_0e4e22c1cded,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,1767728,person,resident,60+,,,60岁及以上,table_regex,0
pop_0c9e17c4d54e,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,age_share_of_population,18.98,percent,resident,60+,,,60岁及以上,table_regex,0
pop_72a84460a8b8,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,resident_population,1275870,person,resident,65+,,,其中：65岁及以上,table_regex,0
pop_24c068021f07,南京,,2020,NJ_POP_7C_2021,https://tjj.nanjing.gov.cn/njstjj/202105/t20210524_2945781.html,age_share_of_population,13.70,percent,resident,65+,,,其中：65岁及以上,table_regex,0
pop_567b8269b0af,苏州,,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,12748262,person,resident,,,,苏州市,table_regex,0
pop_e088bcd0cae8,苏州,,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,100.00,percent,resident,,,,2020 share,table_regex,0
pop_7ab27084fcd0,苏州,,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,100.00,percent,resident,,,,2010 share,table_regex,1
pop_d44800eff65f,苏州,张家港市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,1432044,person,resident,,,,张家港市,table_regex,0
pop_b5fb3d9390f1,苏州,张家港市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,11.23,percent,resident,,,,2020 share,table_regex,0
pop_cd052f205489,苏州,张家港市,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,11.92,percent,resident,,,,2010 share,table_regex,1
pop_2f16605d24b5,苏州,常熟市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,1677050,person,resident,,,,常熟市,table_regex,0
pop_91f7fb8dccf9,苏州,常熟市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,13.16,percent,resident,,,,2020 share,table_regex,0
pop_924885e8e515,苏州,常熟市,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,14.44,percent,resident,,,,2010 share,table_regex,1
pop_80794d8e5ca8,苏州,太仓市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,831113,person,resident,,,,太仓市,table_regex,0
pop_ea64bc07f8fa,苏州,太仓市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,6.52,percent,resident,,,,2020 share,table_regex,0
pop_8189bcc5666c,苏州,太仓市,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,6.81,percent,resident,,,,2010 share,table_regex,1
pop_c2c0f2a4854f,苏州,昆山市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,2092496,person,resident,,,,昆山市,table_regex,0
pop_14d7d29be273,苏州,昆山市,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,16.41,percent,resident,,,,2020 share,table_regex,0
pop_9ec23e2b8120,苏州,昆山市,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,15.73,percent,resident,,,,2010 share,table_regex,1
pop_10fd4b40c50c,苏州,吴江区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,1545023,person,resident,,,,吴江区,table_regex,0
pop_b0b4aa35a3da,苏州,吴江区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,12.12,percent,resident,,,,2020 share,table_regex,0
pop_0011643f1994,苏州,吴江区,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,12.18,percent,resident,,,,2010 share,table_regex,1
pop_d61e204456f0,苏州,吴中区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,1388972,person,resident,,,,吴中区,table_regex,0
pop_f340ea1c0ec2,苏州,吴中区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,10.90,percent,resident,,,,2020 share,table_regex,0
pop_5bdf3f9fc9bc,苏州,吴中区,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,11.06,percent,resident,,,,2010 share,table_regex,1
pop_2742f1985dd6,苏州,相城区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,891055,person,resident,,,,相城区,table_regex,0
pop_5adc649999f0,苏州,相城区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,6.99,percent,resident,,,,2020 share,table_regex,0
pop_1effaac29857,苏州,相城区,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,6.62,percent,resident,,,,2010 share,table_regex,1
pop_de0fbabfe249,苏州,姑苏区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,924083,person,resident,,,,姑苏区,table_regex,0
pop_932a629f08a5,苏州,姑苏区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,7.25,percent,resident,,,,2020 share,table_regex,0
pop_80060b568e65,苏州,姑苏区,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,9.13,percent,resident,,,,2010 share,table_regex,1
pop_b89fb8f22b57,苏州,工业园区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,1133927,person,resident,,,,工业园区,table_regex,0
pop_837ff76e8dce,苏州,工业园区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,8.89,percent,resident,,,,2020 share,table_regex,0
pop_0b2a3eec7036,苏州,工业园区,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,6.65,percent,resident,,,,2010 share,table_regex,1
pop_7c333dbcf3dc,苏州,高新区、虎丘区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population,832499,person,resident,,,,高新区、虎丘区,table_regex,0
pop_a9cd833e898d,苏州,高新区、虎丘区,2020,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,6.53,percent,resident,,,,2020 share,table_regex,0
pop_f20e7f2661a5,苏州,高新区、虎丘区,2010,SZ_POP_7C_REGION_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/f2eb424b9176422bbbeda132aeaf3d76.shtml,resident_population_share,5.47,percent,resident,,,,2010 share,table_regex,1
pop_d9f0964716ec,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,resident_population,12748262,person,resident,all,,,总 计,table_regex,0
pop_168d154dd7b4,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,age_share_of_population,100.00,percent,resident,all,,,总 计,table_regex,0
pop_3f6a36bc2df4,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,resident_population,1727189,person,resident,0-14,,,0-14 岁,table_regex,0
pop_5055cdc47c5d,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,age_share_of_population,13.55,percent,resident,0-14,,,0-14 岁,table_regex,0
pop_2dad0cfb094a,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,resident_population,8858671,person,resident,15-59,,,15-59 岁,table_regex,0
pop_505153d0d208,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,age_share_of_population,69.49,percent,resident,15-59,,,15-59 岁,table_regex,0
pop_11038a3b55c7,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,resident_population,2162402,person,resident,60+,,,60 岁及以上,table_regex,0
pop_786049f8a5d5,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,age_share_of_population,16.96,percent,resident,60+,,,60 岁及以上,table_regex,0
pop_48bce7d2ed31,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,resident_population,1585701,person,resident,65+,,,其中： 65 岁及以上,table_regex,0
pop_4f9ec03b133a,苏州,,2020,SZ_POP_7C_AGE_2021,https://tjj.suzhou.gov.cn/sztjj/tjgb/202105/63f291317a62483ba1b6872b64b45b98.shtml,age_share_of_population,12.44,percent,resident,65+,,,其中： 65 岁及以上,table_regex,0
pop_1bcf1aedbdd7,南通,,2024,NT_POP_GB_2024,https://tjj.nantong.gov.cn/ntstj/tjgb/content/e57175ba-f93c-4840-a82a-0007fb889139.html,resident_population,775.0,万人,resident,all,,,bulletin_regex,regex_text,1
pop_e9a900b52d56,南通,,2024,NT_POP_GB_2024,https://tjj.nantong.gov.cn/ntstj/tjgb/content/e57175ba-f93c-4840-a82a-0007fb889139.html,urbanization_rate,73.1,%,,all,,,bulletin_regex,regex_text,1
